Id,UserId
3,11
7,21
12,21
13,4
20,6
22,9
23,11
25,21
26,17
41,38
50,12
52,38
53,493
53,666
53,41
54,6
55,28
56,17
59,53
61,52
62,6
63,27103
63,52
64,9
66,27103
66,685
66,666
68,52
69,9
69,666
70,27103
70,21
72,27103
72,6
72,685
76,33
79,7519
79,38
80,60
80,396
81,21
82,666
82,6
86,17
86,3270
87,11
87,666
89,47
90,6
95,62
95,389
96,25
96,666
98,42
102,61
103,52
108,11
110,17
111,61
123,67
125,27103
125,66
128,2598
128,69
142,24
143,45
143,2598
143,34
143,1079
143,666
145,6
146,666
148,24
149,6
152,15
152,27103
153,74
155,78
157,76
158,15
165,6
165,27103
170,76
171,4
172,67
174,6
178,18
178,8076
178,666
178,81
182,4
185,53
185,27103
186,11
189,74
189,3270
194,52
196,17
197,4
198,52
199,85
201,47
203,53
204,86
205,53
205,666
209,39
211,6
214,87
214,666
216,11
223,91
225,11
228,87
228,12828
228,226
235,91
248,11
249,61
254,74
256,38
259,6
263,24
267,89
267,27103
268,11
268,27103
269,6
269,19107
271,101
271,27103
273,24
276,89
278,101
283,29
283,28038
284,24
285,101
286,666
286,101
286,2598
289,666
289,101
298,104
299,104
303,86
304,104
308,24
312,107
317,104
319,104
324,113
325,107
332,113
351,6
362,44
363,25936
363,6
372,6
372,30522
384,53
385,94
392,92
394,53
394,30522
397,122
397,258
406,38
407,2471
407,91
409,2471
409,63
414,2471
414,6415
414,103
416,38
417,91
418,18
423,22
423,915
425,22
440,101
451,6
454,41
462,47
462,30522
467,17
472,30522
472,19
482,148
491,147
493,6
496,92
498,63
499,6
503,50283
503,6
504,147
506,6
509,6
511,6218
511,92
514,14579
514,61
517,87
518,95
519,151
520,87
521,152
524,36
536,147
551,141
553,153
557,86
563,153
564,18
569,67
572,61
576,6
578,6
580,38
581,101
584,18
588,90
590,82
594,12
605,13
606,6218
606,66
607,91
608,44
609,6
613,31
619,35
620,12
621,86
623,6
626,24
628,66
635,41
644,76
653,36006
653,152
656,36006
656,156
657,152
657,27103
682,666
682,120
685,2471
685,133
689,101
690,4
705,9
706,6
714,67
714,36006
716,4
716,36006
717,17
717,36006
719,6
719,36006
727,38
728,34
730,6
731,11
732,42
740,11
747,40
748,151
749,92
754,6
759,25
760,52
762,63
763,6
764,229824
764,60357
764,15681
764,212650
764,251995
764,66263
764,42
764,1204
764,103731
764,2076
764,47174
764,22493
764,90773
764,50302
764,142806
764,51049
764,663
764,25572
764,5038
764,8668
764,73278
764,138981
764,158236
764,60171
764,25936
764,283993
764,104196
764,226
768,38
771,38
776,6
780,47
781,6
782,6
783,38
784,113
785,38
786,122
788,162
791,154
791,40801
791,36006
795,38
795,36006
799,101
799,36006
800,163
801,6
803,64
805,24
806,86
808,86
809,86
810,99
814,591
814,164
816,666
816,3031
816,164
820,3766
820,61
820,666
824,108
829,92
832,165
833,34
835,62
838,30522
838,165
841,4
842,64
844,93
844,666
850,11
851,47
854,101
859,666
859,136
859,147
863,81
864,25
868,24
871,38
872,92
875,24
876,81
877,6
878,145
879,18
888,145
891,11
900,136
901,147
906,147
907,74
908,147
909,147
910,168
911,168
934,113
941,164
942,29
946,63
949,67
949,2021
950,122
952,66
953,389
953,67
973,170
978,172
978,666
980,172
981,172
982,24
984,61
985,5197
985,101
986,147
988,101
992,96
992,389
993,96
993,13162
993,633
999,6
1001,6
1012,61
1016,149
1031,67
1044,24
1066,6
1068,6
1069,87
1071,6
1072,6
1079,31
1081,176
1083,149
1084,63
1091,149
1092,63
1094,6
1096,63
1099,38
1100,93
1101,64
1107,4
1111,182
1112,182
1112,27103
1113,86
1117,34
1121,101
1122,24
1123,134
1124,24
1125,101
1128,134
1128,633
1129,101
1132,6
1133,38
1134,101
1134,666
1134,40
1136,34
1152,6
1161,147
1163,99
1165,85
1168,5
1173,120
1174,120
1175,120
1176,120
1181,52
1182,47
1183,11
1185,149
1188,2471
1188,98
1193,134
1195,47
1196,134
1198,66
1199,101
1205,4
1218,24
1222,112
1225,136
1228,38
1229,149
1230,63
1232,24
1233,38
1241,103
1242,95
1243,92
1247,92
1252,18
1268,67
1270,67
1282,175
1283,175
1285,165
1285,4
1292,6
1296,120
1297,172
1300,186
1325,149
1326,11
1327,164
1328,6
1333,38
1339,35
1340,6
1343,170
1346,149
1359,190
1372,196
1373,11
1373,13285
1375,591
1375,221
1378,226
1379,196
1381,2654
1381,6
1382,47
1383,11
1385,6
1387,221
1388,71
1389,231
1391,1712
1391,71
1392,6
1395,6
1397,165
1399,1712
1399,5
1400,6
1401,47
1417,277
1417,1712
1429,287
1429,1712
1435,287
1439,287
1444,196
1446,258
1448,287
1453,230
1456,305
1471,305
1472,316
1477,287
1489,591
1489,319
1491,87
1491,112
1498,91
1498,591
1503,591
1503,92
1505,11
1505,235
1505,61852
1505,68956
1507,212
1507,5570
1512,27103
1512,383
1514,376
1518,258
1519,280
1522,366
1523,379
1525,293
1532,258
1534,305
1537,210
1539,6
1543,402
1543,3270
1544,356
1544,591
1546,408
1547,258
1550,591
1550,416
1553,389
1554,389
1554,220
1559,422
1565,389
1566,432
1567,389
1568,281
1568,666
1568,389
1569,436
1571,3270
1571,389
1572,591
1572,439
1573,389
1573,666
1574,439
1575,165
1576,439
1577,389
1578,445
1578,633
1579,389
1581,443
1585,389
1586,389
1587,258
1589,447
1591,389
1592,92
1593,389
1595,389
1596,389
1597,389
1604,19717
1605,29
1607,467
1614,5
1617,471
1624,1898
1624,480
1629,487
1629,591
1633,489
1636,120
1638,500
1643,500
1653,17261
1653,509
1655,497
1660,521
1665,232
1672,535
1675,540
1677,262
1680,552
1681,550
1687,543
1688,127
1688,31267
1689,550
1689,6473
1700,262
1703,262
1712,389
1712,254
1714,542
1724,542
1727,591
1727,113
1728,577
1732,586
1732,591
1736,389
1738,389
1740,133
1740,591
1741,4
1742,593
1742,591
1751,591
1753,67
1753,598
1753,591
1754,597
1755,575
1756,602
1757,542
1758,605
1759,575
1760,47
1761,4
1762,633
1762,389
1764,604
1765,66
1770,559
1771,34
1771,4877
1773,389
1775,389
1776,575
1779,47
1781,618
1784,1025
1784,156
1786,156
1788,64
1789,47
1790,319
1792,575
1795,141
1797,552
1798,305
1801,165
1803,98
1805,497
1806,552
1807,631
1809,627
1810,494
1811,631
1819,229
1819,11
1820,19
1821,220
1821,415
1824,87
1825,389
1829,631
1830,160
1830,1996
1836,120
1836,24
1841,607
1842,172
1844,635
1845,661
1846,120
1847,17
1848,662
1850,552
1851,74
1853,17
1855,667
1858,671
1862,662
1870,456
1872,625
1872,1204
1876,652
1882,215
1882,2598
1889,63
1892,509
1895,705
1899,287
1899,3704
1900,703
1901,61
1903,509
1904,666
1907,287
1908,40
1909,287
1910,287
1911,710
1912,698
1915,712
1917,714
1918,666
1927,698
1929,15077
1931,718
1932,591
1932,738
1937,734
1938,591
1938,886
1938,191
1940,196
1941,591
1941,749
1942,16535
1942,731
1945,591
1945,758
1950,6440
1955,24
1956,762
1957,136
1961,774
1961,591
1965,226
1971,719
1973,782
1979,798
1980,783
1981,160
1989,790
1993,350
1993,591
1995,789
1998,794
2002,24
2002,38625
2003,718
2003,38625
2010,14
2010,38625
2012,38625
2012,782
2016,718
2018,809
2018,38625
2021,809
2024,38625
2024,17
2028,143
2031,27103
2031,160
2032,456
2035,210
2037,27103
2037,666
2044,828
2044,591
2045,789
2049,718
2050,801
2054,190
2056,838
2058,131
2059,794
2061,838
2061,92142
2061,64132
2067,837
2067,38625
2068,719
2071,287
2072,841
2075,189
2077,38625
2077,855
2078,287
2079,855
2087,34
2087,34562
2090,719
2092,860
2093,862
2094,74
2097,864
2100,835
2103,871
2104,791
2106,5
2106,20065
2106,34562
2107,718
2107,34562
2120,545
2139,471
2166,894
2168,712
2169,162
2176,819
2179,38625
2179,819
