UserId,count(p.Id)
3,23
4,1077
5,19
6,90
7,1
9,4
11,57
12,7
13,8
14,35
15,108
17,40
18,94
19,10
21,14
22,2
23,6
24,47
25,19
28,2
29,31
30,20
31,24
32,4
33,17
34,60
35,4
36,5
37,34
38,60
39,1
40,5
41,5
42,54
44,22
45,1
47,756
49,1
52,8
53,8
54,3
55,13
59,3
60,1
61,29
62,5
63,68
64,16
66,84
67,27
68,7
69,1
70,1
71,5
73,24
74,22
75,1
76,16
78,4
79,10
81,4
82,20
83,132
85,5
86,11
87,31
88,10
89,43
90,18
91,11
92,36
93,3
94,2
95,2
96,3
97,3
98,5
99,25
100,1
101,137
103,31
104,6
107,18
108,2
109,1
112,14
113,9
114,1
115,1
116,3
117,9
120,18
122,22
123,1
125,2
126,28
127,2
130,1
131,213
133,10
134,20
135,13
136,56
138,1
141,2
143,6
144,4
145,69
146,6
147,48
148,164
149,36
151,6
152,3
153,3
154,9
155,4
156,22
158,9
159,1
160,9
161,1
162,27
163,2
164,5
165,34
168,12
170,5
172,647
174,2
175,20
176,2
177,15
178,2
179,1
182,15
186,1
187,5
189,15
190,29
191,14
193,3
195,1
196,5
199,1
202,1
204,2
205,2
210,2
211,2
212,5
213,281
214,1
215,3
218,1
219,1
220,12
221,18
224,1
226,301
227,18
229,1
230,3
231,7
232,2
235,7
236,2
238,1
241,1
246,7
247,1
248,3
254,2
255,4
257,53
258,8
262,5
275,1
277,1
278,7
280,2
281,7
283,1
285,169
287,192
290,1
292,2
293,5
295,1
297,1
298,1
305,7
307,2
308,1
310,3
311,1
313,1
315,1
316,1
317,6
319,4
323,3
325,10
331,1
334,4
342,1
343,2
345,1
348,101
350,2
354,5
355,2
356,21
359,5
360,4
365,2
366,31
370,6
372,1
373,11
374,1
376,3
378,3
379,1
381,14
383,2
384,2
386,1
389,90
395,1
396,1
398,1
401,2
402,2
403,1
404,6
408,1
409,1
411,1
415,5
416,1
422,4
425,1
427,4
432,1
433,14
436,5
438,1
439,3
442,5
443,1
444,3
445,1
446,1
447,5
452,1
456,7
459,1
460,1
462,1
464,109
467,5
468,3
471,13
472,4
475,3
477,1
479,1
480,1
483,83
485,3
486,2
487,1
488,7
489,2
490,2
493,4
494,13
497,2
500,19
505,6
509,5
511,1
512,3
513,1
514,5
515,1
517,29
521,1
525,2
526,1
527,4
532,1
535,3
537,59
539,1
540,2
542,14
543,1
545,1
550,19
552,102
557,2
559,1
560,2
562,16
564,7
567,1
572,136
575,4
577,1
580,1
585,3
586,1
587,14
589,3
591,701
593,1
594,23
596,1
597,3
598,5
602,21
604,3
605,1
607,30
610,2
611,318
616,1
617,8
618,1
619,2
620,562
625,3
626,1
627,2
628,46
631,12
633,13
635,1
638,2
641,4
642,2
648,1
649,1
650,7
652,1
656,2
657,25
660,1
661,1
662,2
663,2
666,72
667,466
670,1
671,7
672,51
675,11
679,57
680,4
685,6
686,1
688,6
691,19
692,3
693,2
694,1
698,4
699,1
700,21
703,1
705,5
707,1
708,2
710,1
711,5
712,50
714,1
715,47
718,6
719,10
720,3
728,3
730,2
731,1
734,4
735,14
738,10
749,5
758,1
760,1
761,1
762,1
767,1
769,1
771,1
773,19
774,1
778,13
782,38
783,1
785,11
786,18
789,2
790,1
791,1
794,2
798,1
801,3
803,1
807,1
808,1
809,2
813,1
815,1
818,1
819,2
820,2
824,1
825,3
827,1
828,1
830,2
831,2
832,2
835,2
837,11
838,32
839,1
841,156
843,1
844,31
848,2
849,2
851,2
854,32
855,1098
859,2
860,3
861,8
862,1
864,1
866,142
867,1
870,2
871,1
880,2
882,33
883,17
886,40
893,2
894,2
897,534
900,50
902,505
905,2
906,498
908,1
910,1
912,7
914,7
915,2
919,8
921,3
923,17
927,1
928,1
929,6
933,1
934,102
935,564
936,1
940,2
942,1
943,2
944,12
947,3
956,2
958,1
963,71
964,1
965,4
966,4
968,2
969,1
970,2
971,1
974,2
977,2
979,39
980,86
983,13
984,3
987,86
988,1
989,1
990,9
993,4
997,1
998,9
1000,2
1001,2
1008,1
1011,2
1013,18
1014,5
1020,15
1023,1
1025,1
1027,2
1028,2
1033,269
1035,2
1037,5
1038,3
1042,1
1043,1
1044,4
1045,2
1049,10
1050,9
1058,1
1059,1
1060,6
1061,3
1063,2
1064,1
1065,2
1067,6
1069,47
1070,1
1071,5
1073,17
1078,1
1079,1
1080,19
1081,2
1083,5
1093,501
1095,9
1097,1
1101,5
1104,3
1108,12
1109,2
1111,18
1114,135
1116,3
1117,2
1119,1
1123,3
1124,6
1127,9
1129,3
1130,204
1131,1
1134,1
1138,1
1140,1
1142,4
1145,56
1147,14
1148,1
1150,1
1154,1
1155,1
1160,2
1161,20
1162,1
1171,1
1173,2
1177,71
1179,3
1181,1
1182,3
1184,1
1187,1
1191,2
1195,2
1197,11
1199,3
1200,1
1203,1
1204,3997
1205,11
1206,20
1207,1
1209,1
1214,1
1215,4
1218,9
1220,1
1221,5
1223,6
1224,1
1225,1
1236,16
1237,1
1238,1
1239,2
1240,19
1241,3
1245,20
1250,1
1254,172
1256,149
1258,2
1260,3
1261,1
1262,2
1271,1
1280,1
1281,1
1282,2
1285,1
1287,5
1293,10
1294,1
1298,126
1301,6
1303,4
1306,30
1309,2
1312,11
1313,1
1314,1
1315,1
1320,41
1321,2
1324,127
1325,17
1326,8
1327,43
1328,24
1335,5
1338,8
1340,8
1341,1
1342,2
1343,302
1345,5
1350,16
1351,9
1352,739
1353,12
1354,9
1355,3
1357,4
1360,9
1362,88
1364,16
1366,1
1368,5
1369,1
1373,18
1374,1
1376,1
1381,8
1383,15
1384,45
1385,3
1388,3
1395,3
1396,1
1397,5
1398,1
1401,3
1402,6
1403,5
1411,7
1416,5
1418,6
1420,2
1421,2
1422,3
1425,1
1426,4
1427,16
1431,4
1433,3
1434,2
1435,6
1444,11
1447,1
1451,1
1454,17
1455,4
1456,1
1457,1
1458,29
1463,9
1464,2
1466,1
1467,2
1468,135
1470,2
1474,5
1476,15
1479,2
1480,4
1482,1
1483,8
1484,3
1485,2
1486,2
1487,1
1489,2
1490,5
1492,5
1495,6
1496,2
1500,4
1502,2
1503,7
1508,10
1510,1
1512,103
1515,1
1516,1
1517,6
1521,154
1522,2
1525,26
1534,2
1539,31
1540,1
1541,2
1545,10
1548,2
1549,1
1553,1
1554,311
1560,4
1562,2
1564,1
1566,1
1571,37
1572,5
1573,2
1574,1
1577,49
1579,2
1586,1
1590,1
1591,1
1596,11
1601,1
1603,1
1608,2
1609,10
1611,1
1612,1
1618,1
1620,1
1622,3
1625,20
1626,95
1627,1
1628,1
1629,2
1633,2
1635,2
1640,3
1641,2
1642,11
1644,2
1649,1
1650,1
1652,3
1654,29
1655,4
1663,1
1664,1
1668,7
1670,1
1674,1
1681,16
1683,213
1685,4
1690,3
1696,157
1697,7
1698,8
1704,4
1707,37
1710,1
1712,27
1716,3
1719,1
1721,2
1724,15
1725,39
1727,1
1732,8
1738,2
1739,1
1747,17
1748,8
1750,3
1755,4
1760,2
1763,4
1767,91
1773,8
1777,3
1783,3
1785,20
1786,3
1788,124
1789,6
1790,7
1791,3
1792,4
1795,1
1796,3
1797,2
1801,1
1803,1
1804,14
1806,3
1808,2
1809,1
1810,2
1813,30
1825,1
1829,1
1833,1
1834,3
1836,4
1838,1
1840,3
1843,37
1845,5
1850,3
1852,55
1855,1
1858,1
1860,33
1861,1
1865,51
1870,3
1875,4
1877,1
1878,17
1880,2
1886,5
1887,1
1888,1
1893,1
1894,39
1895,1
1896,12
1898,1
1905,3
1908,1
1912,1
1916,3
1918,1
1920,3
1921,174
1922,12
1923,14
1925,2
1928,98
1929,117
1931,5
1934,2
1935,4
1936,7
1939,1
1941,1
1944,1
1946,1
1948,18
1949,7
1951,1
1954,2
1955,1
1958,13
1961,38
1964,1
1965,7
1968,36
1969,4
1972,3
1973,78
1974,1
1977,5
1978,1
1984,3
1993,1
1996,241
1997,5
2000,1
2001,6
2004,1
2006,1
2010,1
2012,2
2016,1
2017,2
2018,2
2021,242
2026,28
2030,1
2032,4
2033,1
2035,9
2040,1
2044,13
2046,2
2048,2
2051,6
2052,2
2055,2
2058,1
2060,1
2061,1
2063,136
2073,5
2074,1
2076,1
2078,3
2083,1
2091,1
2093,3
2097,1
2099,3
2104,1
2106,1
2107,167
2114,7
2115,6
2117,3
2120,2
2121,1
2122,1
2124,6
2126,1
2127,2
2129,9
2131,1
2135,2
2140,2
2142,3
2152,2
2157,1
2159,1
2160,2
2162,4
2163,4
2164,1
2168,2
2169,7
2180,7
2181,2
2182,4
2186,1
2188,3
2189,2
2191,3
2193,10
2195,2
2197,1
2198,2
2199,2
2202,1
2206,2
2207,1
2210,40
2213,1
2217,2
2222,2
