question_id,user_id
1,11
1,21
4,21
1,4
9,6
9,9
9,11
18,21
4,17
9,38
9,12
39,38
39,41
38,6
44,28
1,17
9,53
44,52
49,6
57,52
42,9
57,0
42,52
39,9
57,21
57,6
9,33
44,38
39,60
42,21
39,6
39,17
39,11
73,47
73,6
39,62
39,25
94,42
16,61
94,52
44,11
42,17
49,61
18,67
57,66
39,69
18,0
135,24
39,45
134,6
39,0
73,24
104,6
57,15
135,74
39,78
94,76
104,15
9,76
163,4
163,67
163,6
39,81
57,53
134,11
39,74
134,0
188,52
134,17
188,4
192,52
9,85
192,47
188,53
9,86
39,53
9,39
206,6
39,87
215,11
206,91
221,11
221,0
220,87
220,91
247,11
188,61
247,74
192,38
257,6
257,24
57,89
57,11
262,6
57,101
252,24
18,89
257,101
163,29
94,24
39,101
1,104
206,104
262,86
9,104
294,24
9,107
163,104
188,104
135,113
163,107
262,113
348,6
262,0
1,44
43528,6
370,6
252,53
257,94
257,92
370,53
39,122
257,38
368,91
368,63
368,103
348,38
348,91
39,18
39,22
163,22
135,101
404,6
408,41
370,47
188,17
370,19
1,148
487,147
492,6
492,92
492,63
487,6
501,6
501,147
502,6
502,-1
507,6
501,92
501,-1
507,0
487,61
501,95
501,151
501,87
39,152
501,36
16,147
501,141
500,153
501,86
558,153
487,18
558,67
566,61
566,0
570,6
566,6
570,38
566,101
570,18
501,90
501,82
566,12
501,13
501,66
604,91
604,44
604,6
604,31
604,35
616,12
616,86
616,6
616,24
502,66
616,41
616,76
648,152
648,156
57,152
39,120
368,133
616,101
616,4
678,9
678,6
648,67
648,4
648,17
648,6
678,38
724,34
729,6
729,11
724,42
739,11
739,40
745,151
745,92
750,6
745,25
745,52
745,63
745,6
756,42
750,38
729,38
775,6
779,47
778,6
779,6
779,38
779,113
778,38
501,122
775,162
648,154
648,38
648,101
778,163
778,64
779,24
745,86
779,86
729,86
779,99
1,164
39,164
39,61
811,108
827,92
745,165
745,34
739,62
370,165
827,4
39,64
39,93
39,-1
568,11
568,47
568,101
39,136
739,81
778,25
866,24
870,38
870,92
874,24
257,81
870,6
501,145
870,18
870,145
870,11
870,136
775,147
39,147
870,74
812,147
724,147
49,168
870,168
724,113
937,164
940,29
937,63
870,67
940,122
940,66
39,67
257,170
39,172
937,172
812,172
966,24
937,61
966,101
937,147
940,101
39,96
991,6
966,6
1009,61
966,149
1025,67
1009,24
1060,6
1059,6
1063,87
1063,6
1070,6
39,31
729,176
1059,149
1059,63
1090,149
1090,63
1090,6
1095,63
966,38
1070,93
966,64
1095,4
1059,182
57,182
1106,86
1106,-1
1106,34
1106,101
1106,24
729,134
1090,24
1059,101
39,134
1058,101
1106,6
1106,38
1135,34
1151,6
566,147
1090,99
1135,85
1135,5
39,40
1180,52
1180,47
1180,11
1180,149
368,98
1180,134
1189,47
1189,134
724,66
1007,101
1200,4
1217,24
1217,112
1224,136
1217,38
1224,149
1180,63
1224,24
135,38
1106,0
724,103
1180,95
1217,92
1106,92
1200,18
1106,67
262,67
1280,175
1224,165
1280,6
745,120
262,172
843,186
1323,149
1323,11
1323,164
1323,6
1323,38
1338,35
1338,6
1095,170
1095,149
779,190
135,196
1338,11
1338,221
1338,226
9,196
1376,6
1376,47
1376,11
1380,6
1371,221
1371,71
1371,231
1386,71
1371,6
1371,165
1386,5
1371,47
1386,277
1386,287
843,287
1371,287
39,196
1217,258
1338,287
39,258
1217,230
39,305
966,305
1323,316
1180,287
1483,319
1483,87
1338,91
1483,92
1483,11
1483,212
57,383
1371,376
1516,258
501,280
1516,366
39,379
4,293
