Id,TagName,Count,ExcerptPostId,WikiPostId
1,comments,168,84634,84633
3,code-smell,121,133740,133739
4,programming-languages,1251,4802,4801
5,usage,8,NULL,NULL
7,business,120,109610,109609
8,project-management,812,48555,48554
9,development-process,593,143950,143949
11,performance,644,107405,107404
12,time-management,81,NULL,NULL
13,dynamic-typing,86,133802,133801
14,static-typing,65,NULL,NULL
16,team,202,166744,166743
23,waterfall,41,NULL,NULL
28,functional-programming,582,67239,67238
36,web-applications,827,104484,104483
38,hiring,58,48945,48944
40,resources,86,284751,284750
41,math,241,170221,170220
45,billing,16,NULL,NULL
46,freelancing,202,121103,121102
47,pricing,48,167443,167442
49,twitter,21,67236,67235
50,software,189,49001,49000
51,technology,36,168228,168227
52,books,120,49448,49447
53,actor-model,36,NULL,NULL
54,concurrency,248,179324,179323
55,code-quality,538,121323,121322
56,test-coverage,59,NULL,NULL
57,open-source,858,65197,65196
58,history,309,106197,106196
61,linux,245,47902,47901
62,kernel,27,NULL,NULL
63,resume,33,155248,155247
65,agile,917,54867,54866
67,project-hosting,23,NULL,NULL
71,productivity,345,54813,54812
76,java,3881,43376,43375
78,python,1324,47876,47875
82,applications,85,145717,145716
83,tools,108,71900,71899
85,employment,9,179319,179318
87,telecommuting,11,232501,232500
89,self-improvement,234,70109,70108
91,websites,156,75373,75372
92,organization,103,150077,150076
94,technique,25,NULL,NULL
96,social,11,NULL,NULL
102,language-design,404,143965,143964
104,syntax,165,73291,73290
105,learning,357,55779,55778
109,regular-expressions,77,236429,236428
110,web-development,1301,54503,54502
111,ide,128,47756,47755
114,windows,276,144317,144316
117,goto,13,NULL,NULL
118,programming-practices,1286,134613,134612
119,operating-systems,168,133804,133803
120,managed-code,10,NULL,NULL
121,stereotypes,2,NULL,NULL
126,behavior,18,289073,289072
130,language-agnostic,461,48538,48537
131,features,28,NULL,NULL
132,estimation,168,168232,168231
133,indentation,26,NULL,NULL
136,coding,82,40776,40775
140,computer-science,172,135834,135833
141,php,1762,2990,2989
142,skills,158,45205,45204
144,languages,82,145713,145712
145,database-development,84,NULL,NULL
146,spring,183,91928,91927
147,sql,543,47894,47893
150,list,75,NULL,NULL
151,reference,49,155213,155212
157,unit-testing,1215,47892,47891
158,testing,1053,49179,49178
159,acceptance-testing,79,234977,234976
164,software-patent,16,NULL,NULL
167,internet-explorer,25,NULL,NULL
168,mac,38,132476,132475
169,deployment,237,144322,144321
170,physics,14,NULL,NULL
174,hardware,120,167436,167435
178,paradigms,84,133753,133752
180,macros,37,167348,167347
187,logging,177,206948,206947
188,.net,1175,40766,40765
189,text-editor,41,NULL,NULL
190,ethics,88,94951,94950
191,motivation,34,64504,64503
192,testers,8,NULL,NULL
194,sales,22,NULL,NULL
198,architect,11,NULL,NULL
200,paas,7,344855,344854
201,passwords,78,114189,114188
202,security,664,143952,143951
208,gpl,494,133716,133715
211,apple,41,179342,179341
212,cpu,85,143646,143645
214,iphone,130,67860,67859
215,mobile,252,155236,155235
216,marketing,19,232541,232540
220,government,6,NULL,NULL
224,saml,5,NULL,NULL
226,asp.net,553,47888,47887
229,object-oriented,2323,113571,113570
230,aspect-oriented,35,218787,218786
231,adfsv2,2,NULL,NULL
234,sso,19,214484,214483
236,code-reuse,137,182190,182189
239,uml,345,135578,135577
242,iterative-development,16,NULL,NULL
243,experience,93,105693,105692
246,code-contracts,10,209193,209192
249,c#,3478,6620,6619
250,vb.net,124,40771,40770
251,scheme,55,151669,151668
252,lisp,109,72690,72689
255,error-messages,43,NULL,NULL
258,etymology,28,80646,80645
264,vim,15,51654,51653
266,prediction,8,NULL,NULL
267,culture,28,275360,275359
268,emacs,18,72687,72686
270,google,70,179330,179329
271,search-engine,45,NULL,NULL
274,focus,2,309677,309676
277,flowchart,25,NULL,NULL
279,coding-standards,448,124397,124396
280,interview,291,99225,99224
281,browser,83,133746,133745
282,front-end,80,NULL,NULL
285,spoken-languages,22,NULL,NULL
287,html,367,54806,54805
288,css,246,74471,74470
294,management,229,100104,100103
300,erp,20,230273,230272
301,users,64,NULL,NULL
304,openid,17,NULL,NULL
311,algorithms,1847,64486,64485
312,complexity,170,261782,261781
315,jargon,13,NULL,NULL
318,project,119,135348,135347
335,stackoverflow,10,210828,210827
336,mistakes,14,NULL,NULL
338,language-features,122,236199,236198
340,joel-test,12,40769,40768
341,code-complete,15,144258,144257
344,mvc,790,77703,77702
347,development-cycle,5,NULL,NULL
348,release,71,NULL,NULL
351,health,3,234129,234128
353,ideology,2,NULL,NULL
354,economics,11,NULL,NULL
355,profession,5,NULL,NULL
357,scrum,601,47900,47899
359,version-control,813,44143,44142
362,free-time,13,48943,48942
363,communication,197,170216,170215
365,visual-studio-2010,50,40784,40783
367,pseudocode,30,NULL,NULL
374,builds,151,165799,165798
375,meetings,25,NULL,NULL
377,comparison,99,309354,309353
378,problem-solving,77,179336,179335
380,recognition,11,NULL,NULL
383,scope-creep,3,NULL,NULL
384,decisions,27,NULL,NULL
385,social-networks,30,NULL,NULL
388,solo-development,58,145711,145710
390,cobol,16,144199,144198
391,design-patterns,2935,49029,49028
392,singleton,105,NULL,NULL
394,teaching,12,55781,55780
395,fonts,14,NULL,NULL
399,pair-programming,51,72692,72691
404,artificial-intelligence,122,136902,136901
407,philosophy,29,NULL,NULL
408,code-reviews,277,48551,48550
409,frameworks,269,56044,56043
413,contribution,23,167019,167018
414,variables,167,271388,271387
416,product-names,4,NULL,NULL
417,time,69,NULL,NULL
421,operators,74,229038,229037
422,f#,69,53691,53690
427,bad-code,24,NULL,NULL
429,terminology,599,75887,75886
430,inheritance,386,179346,179345
431,versioning,207,142389,142388
432,semantics,60,NULL,NULL
437,scalability,146,137156,137155
441,pointers,120,144195,144194
444,osx,24,NULL,NULL
447,iterator,52,NULL,NULL
450,parallelism,66,NULL,NULL
451,exceptions,345,132611,132610
453,product,18,NULL,NULL
457,statistics,51,NULL,NULL
459,actionscript,19,95833,95832
467,feedback,14,NULL,NULL
469,etiquette,26,NULL,NULL
470,portability,38,NULL,NULL
471,ruby-on-rails,253,47896,47895
472,jquery,202,48546,48545
477,education,124,67592,67591
478,software-craftsmanship,13,131728,131727
480,training,44,135391,135390
482,c,1050,47890,47889
483,objective-c,191,84230,84229
484,cms,66,133743,133742
485,scripting,116,167531,167530
488,outsourcing,38,NULL,NULL
491,scala,211,67356,67355
492,migration,74,352124,352123
494,information,30,NULL,NULL
495,overload,12,285385,285384
498,wpf,194,61604,61603
499,standardization,27,193405,193404
501,beta,13,167017,167016
502,ruby,269,65504,65503
503,google-app-engine,56,179354,179353
506,virtualization,28,NULL,NULL
508,c++,2050,47827,47826
511,go,88,84960,84959
527,maintenance,191,112005,112004
529,research,44,NULL,NULL
530,vulnerabilities,12,NULL,NULL
533,senior-developer,13,NULL,NULL
536,tracking,19,NULL,NULL
539,file-structure,66,NULL,NULL
541,minimal-requirements,3,NULL,NULL
544,top-companies,2,NULL,NULL
548,structural-programming,3,NULL,NULL
551,credits,8,NULL,NULL
557,mainframe,12,190042,190041
558,intel,9,NULL,NULL
559,errors,45,NULL,NULL
560,nosql,163,133784,133783
561,bash,33,145045,145044
563,perl,69,74424,74423
566,xml,235,133726,133725
567,documentation,520,121107,121106
571,mocking,127,140437,140436
573,challenge,4,NULL,NULL
574,articles,6,NULL,NULL
575,sorting,170,294301,294300
577,media,7,NULL,NULL
579,refactoring,547,43062,43061
580,mysql,418,115462,115461
581,declarative-programming,19,NULL,NULL
584,shortcuts,4,NULL,NULL
587,financial,22,NULL,NULL
590,development-methodologies,116,NULL,NULL
591,oracle,61,136287,136286
595,failure,18,NULL,NULL
598,libraries,290,135899,135898
