user_id,hour_of_ans,answer_count
3,0,1
4,0,27
5,0,1
6,0,1
18,0,3
21,0,1
25,0,1
30,0,1
38,0,3
44,0,1
47,0,8
53,0,1
61,0,1
63,0,1
66,0,6
67,0,2
76,0,1
79,0,1
83,0,2
86,0,2
88,0,1
99,0,4
101,0,2
103,0,2
104,0,2
107,0,2
113,0,2
122,0,2
126,0,1
131,0,3
136,0,1
145,0,2
148,0,6
149,0,1
158,0,1
164,0,1
172,0,22
175,0,2
204,0,1
213,0,5
220,0,1
226,0,6
227,0,3
285,0,5
287,0,8
334,0,1
348,0,8
356,0,2
389,0,2
416,0,1
422,0,2
432,0,1
433,0,1
436,0,1
483,0,1
532,0,1
537,0,4
572,0,8
591,0,14
610,0,1
611,0,2
620,0,9
633,0,1
666,0,1
667,0,5
712,0,1
728,0,1
773,0,1
782,0,2
786,0,1
841,0,3
855,0,21
861,0,1
882,0,1
883,0,1
886,0,2
897,0,2
902,0,12
906,0,13
934,0,1
935,0,25
944,0,1
956,0,1
965,0,1
966,0,1
968,0,1
987,0,1
1033,0,2
1067,0,1
1078,0,1
1093,0,1
1111,0,1
1114,0,1
1116,0,1
1204,0,93
1206,0,1
1236,0,1
1240,0,1
1245,0,1
1254,0,2
1256,0,2
1285,0,1
1312,0,1
1326,0,2
1327,0,1
1343,0,18
1350,0,1
1351,0,2
1352,0,34
1353,0,1
1360,0,1
1362,0,1
1364,0,1
1418,0,1
1444,0,2
1458,0,2
1468,0,3
1521,0,2
1554,0,10
1577,0,1
1626,0,6
1642,0,1
1654,0,1
1696,0,8
1767,0,3
1788,0,2
1804,0,1
1843,0,4
1852,0,1
1860,0,3
1865,0,3
1886,0,1
1921,0,3
1961,0,1
1996,0,12
2021,0,4
2026,0,1
2063,0,1
2107,0,9
2120,0,1
2122,0,1
2124,0,1
2129,0,1
2162,0,1
2169,0,1
2234,0,1
2274,0,1
2276,0,1
2279,0,1
2305,0,1
2314,0,11
2326,0,1
2331,0,1
2345,0,1
2353,0,1
2355,0,1
2359,0,5
2366,0,1
2388,0,1
2406,0,1
2429,0,7
2439,0,9
2449,0,2
2459,0,1
2471,0,1
2489,0,1
2498,0,1
2505,0,1
2509,0,7
2518,0,1
2528,0,1
2533,0,1
2555,0,1
2582,0,1
2592,0,1
2616,0,1
2620,0,2
2626,0,3
2654,0,5
2673,0,3
2706,0,1
2722,0,3
2752,0,1
2840,0,2
2862,0,1
2916,0,1
2931,0,1
3044,0,1
3138,0,1
3143,0,1
3148,0,2
3171,0,1
3211,0,1
3249,0,9
3250,0,1
3265,0,1
3300,0,1
3309,0,16
3349,0,1
3360,0,2
3414,0,3
3424,0,1
3439,0,1
3445,0,1
3461,0,1
3473,0,3
3490,0,3
3530,0,4
3605,0,1
3631,0,5
3635,0,1
3650,0,1
3674,0,1
3682,0,1
3684,0,1
3688,0,1
3712,0,2
3733,0,8
3754,0,1
3757,0,1
3762,0,10
3764,0,1
3776,0,1
3784,0,1
3786,0,1
3787,0,2
3790,0,1
3792,0,2
3826,0,1
3842,0,1
3852,0,5
3915,0,1
3946,0,1
3956,0,1
3963,0,3
3965,0,28
3966,0,2
3975,0,1
4027,0,3
4041,0,1
4045,0,1
4049,0,1
4073,0,1
4082,0,2
4091,0,5
4099,0,1
4112,0,1
4127,0,2
4128,0,1
4139,0,2
4217,0,9
4219,0,2
4282,0,1
4283,0,1
4316,0,1
4326,0,1
4327,0,6
4328,0,1
4331,0,1
4335,0,1
4338,0,1
4365,0,3
4366,0,1
4376,0,1
4444,0,2
4458,0,1
4459,0,2
4462,0,2
4463,0,2
4485,0,1
4553,0,1
4572,0,1
4573,0,1
4613,0,1
4623,0,8
4642,0,5
4688,0,1
4689,0,2
4801,0,1
4819,0,5
4822,0,1
4828,0,11
4854,0,3
4873,0,1
4881,0,3
4887,0,4
4903,0,13
4909,0,1
4928,0,1
4930,0,1
4949,0,1
4966,0,1
4971,0,1
4982,0,2
5021,0,2
5024,0,1
5026,0,2
5039,0,2
5044,0,1
5050,0,1
5056,0,1
5064,0,9
5069,0,1
5099,0,1
5149,0,1
5167,0,1
5185,0,1
5213,0,1
5218,0,1
5285,0,2
5386,0,1
5425,0,1
5426,0,1
5433,0,2
5435,0,1
5469,0,1
5487,0,1
5493,0,2
5512,0,10
5516,0,1
5555,0,11
5570,0,1
5594,0,1
5602,0,2
5643,0,1
5668,0,1
5677,0,1
5682,0,4
5719,0,1
5731,0,1
5747,0,1
5777,0,2
5822,0,1
5828,0,1
5834,0,11
5878,0,1
5941,0,1
5983,0,6
6028,0,1
6059,0,2
6139,0,1
6177,0,1
6178,0,1
6180,0,1
6212,0,1
6222,0,5
6232,0,1
6250,0,1
6279,0,2
6287,0,1
6322,0,1
6329,0,5
6339,0,1
6342,0,2
6378,0,1
6385,0,2
6390,0,14
6402,0,1
6415,0,2
6420,0,2
6421,0,1
6426,0,2
6432,0,1
6440,0,2
6457,0,1
6494,0,1
6495,0,1
6505,0,3
6509,0,3
6559,0,1
6586,0,14
6591,0,10
6605,0,30
6644,0,8
6669,0,2
6673,0,1
6677,0,1
6698,0,1
6706,0,1
6735,0,6
6795,0,1
6801,0,4
6847,0,2
6861,0,1
6869,0,2
6870,0,3
6883,0,1
6909,0,11
6926,0,1
6938,0,1
6947,0,1
6951,0,1
6985,0,1
7007,0,7
7038,0,1
7042,0,1
7043,0,3
7048,0,1
7067,0,1
7073,0,1
7080,0,4
7083,0,2
7146,0,1
7167,0,2
7203,0,2
7217,0,2
7222,0,1
7243,0,1
7268,0,2
7274,0,1
7284,0,1
7305,0,1
7323,0,1
7376,0,1
7380,0,3
7390,0,1
7422,0,2
7427,0,1
7428,0,1
7433,0,2
7441,0,1
7454,0,4
7456,0,1
7470,0,1
7519,0,11
7575,0,7
7626,0,1
7693,0,2
7706,0,3
7723,0,1
7738,0,1
7744,0,1
7748,0,4
7756,0,1
7814,0,1
7824,0,3
7852,0,1
7857,0,1
7865,0,1
7866,0,1
7890,0,2
7892,0,1
7898,0,1
7921,0,1
7939,0,1
7949,0,1
7959,0,1
7990,0,5
8029,0,3
8031,0,4
8035,0,2
8068,0,2
8076,0,1
8082,0,1
8083,0,2
8093,0,1
8102,0,1
8120,0,2
8187,0,4
8324,0,1
8410,0,1
8467,0,1
8500,0,3
8553,0,13
8592,0,1
8630,0,1
8646,0,1
8656,0,1
8706,0,1
8709,0,4
8805,0,1
8811,0,1
8888,0,6
8890,0,1
8898,0,1
8939,0,1
8943,0,1
